7zip 26.00-1
swaybg 1.2.2-1
swayidle 1.9.0-1
swayimg 5.0-2
swaync 0.12.5-1
swayosd 0.3.0-2
swell-foop 48.1-2
swww 0.11.2-1
sysprof 49.0-2
systemsettings 6.6.3-1
tailscale 1.96.2-1
task 3.4.2-1
tealdeer 1.8.1-2
telegram-desktop 6.6.4-4
termdown 1.18.0-7
tesseract-data-ara 2:4.1.0-4
texlive-basic 2026.0-3
texlive-fontsextra 2026.0-3
texlive-fontsrecommended 2026.0-3
texlive-fontutils 2026.0-3
texlive-langother 2026.0-3
texlive-latexextra 2026.0-3
texlive-luatex 2026.0-3
texlive-mathscience 2026.0-3
texlive-xetex 2026.0-3
thefuck 3.32-12
thunar 4.20.7-1
tmux 3.6_a-1
toilet 0.3.r155.3eb9d58-3
traceroute 2.1.6-1
trash-cli 0.24.5.26-3
tree 2.3.1-1
tree-sitter-cli 0.25.10-3
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-firacode-nerd 3.4.0-2
ueberzugpp 2.9.8-3
unzip 6.0-23
uv 0.11.0-1
vim 9.2.0204-2
vlc 3.0.22-1
vulkan-headers 1:1.4.341.0-1
vulkan-intel 1:26.0.3-1
wacomtablet 6.6.3-1
waybar 0.15.0-2
wine 11.5-1
wine-gecko 2.47.4-2
wine-mono 11.0.0-1
winetricks 20260125-1
wireless_tools 30.pre9-5
wlsunset 0.4.0-1
wofi 1.5.3-1
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-3
xdg-desktop-portal-kde 6.6.3-1
xdg-utils 1.2.1-2
xorg-server 21.1.21-1
xorg-xinit 1.4.4-1
xwayland-satellite 0.8.1-1
yarn 1.22.22-2
yazi 26.1.22-4
zathura 2026.02.22-1
zathura-pdf-poppler 2026.02.03-3
zenith 0.14.3-1
zenmap 7.98-6
zip 3.0-11
zoxide 0.9.9-2
zram-generator 1.2.1-1
zsh 5.9-5
